amount,pickup_time,startX,startY,endX,endY 
1,2013-11-18 16:00:18,-73.9816869,-40.7836714,-73.9731567,-40.7985787
1,2013-11-18 16:00:18,-73.995018,-40.73986,-73.992006,-40.749101
3,2013-11-18 16:00:19,-73.985243,-40.744627,-74.003657,-40.729344
1,2013-11-18 16:00:20,-73.96586,-40.8054906,-73.9874756,-40.7809753
1,2013-11-18 16:00:20,-73.9822819,-40.7755451,-73.954874,-40.805096
1,2013-11-18 16:00:20,-73.7838055,-40.6487785,-73.883781,-40.871382
1,2013-11-18 16:00:22,-73.8625558,-40.7688802,-73.975558,-40.752116
1,2013-11-18 16:00:22,-74.002019,-40.740444,-73.9792861,-40.7528022
1,2013-11-18 16:00:23,-73.981109,-40.744498,-73.983122,-40.734846
1,2013-11-18 16:00:23,-73.9452589,-40.7825501,-73.946974,-40.799961
1,2013-11-18 16:00:23,-73.870419,-40.7735296,-74.011232,-40.710367
1,2013-11-18 16:00:23,-73.9590068,-40.7834682,-73.9857166,-40.7679183
2,2013-11-18 16:00:24,-73.9546771,-40.7655778,-73.974956,-40.790184
2,2013-11-18 16:00:24,-73.9914166,-40.7298896,-73.9746829,-40.7591101
1,2013-11-18 16:00:24,-73.9498403,-40.7844958,-73.9907674,-40.7609858
1,2013-11-18 16:00:25,-73.973571,-40.779478,-73.9810182,-40.7676993
1,2013-11-18 16:00:25,-74.0128199,-40.702446,-73.9733087,-40.7609894
1,2013-11-18 16:00:25,-74.0003097,-40.7625412,-73.9823049,-40.7730986
3,2013-11-18 16:00:25,-73.984596,-40.754177,-73.980036,-40.765521
1,2013-11-18 16:00:25,-73.988729,-40.745286,-73.9934975,-40.7243769
1,2013-11-18 16:00:27,-73.976288,-40.748245,-73.9549422,-40.7775056
3,2013-11-18 16:00:27,-73.8625558,-40.7688802,-73.9752226,-40.7552254
1,2013-11-18 16:00:28,-73.8659742,-40.7711808,-73.9789382,-40.785123
1,2013-11-18 16:00:28,-73.9567991,-40.7749613,-73.946656,-40.772351
1,2013-11-18 16:00:28,-73.990945,-40.739673,-74.0060141,-40.7244015
1,2013-11-18 16:00:29,-74.006069,-40.735134,-73.9958473,-40.7265273
1,2013-11-18 16:00:30,-73.989577,-40.7398377,-73.986639,-40.755035
1,2013-11-18 16:00:30,-73.948069,-40.745979,-73.94243,-40.753998
1,2013-11-18 16:00:30,-73.9797698,-40.7521385,-73.9876368,-40.7514288
1,2013-11-18 16:00:31,-73.9822537,-40.7573902,-73.987239,-40.729192
1,2013-11-18 16:00:31,-73.9713198,-40.7609688,-73.9629623,-40.7724554
1,2013-11-18 16:00:31,-73.9214518,-40.7436277,-73.907097,-40.755441
1,2013-11-18 16:00:32,-73.993813,-40.746618,-73.9799047,-40.7349899
2,2013-11-18 16:00:32,-73.9583242,-40.7646126,-73.9630866,-40.7750035
1,2013-11-18 16:00:32,-73.992805,-40.742901,-73.9882578,-40.7491155
1,2013-11-18 16:00:32,-73.9615495,-40.7684519,-73.9495057,-40.7684659
1,2013-11-18 16:00:33,-73.9647558,-40.764057,-73.966136,-40.8047848
1,2013-11-18 16:00:34,-73.9611049,-40.7690611,-73.9504717,-40.7713798
1,2013-11-18 16:00:34,-73.870419,-40.7735296,-74.012992,-40.709354
2,2013-11-18 16:00:35,-74.0030758,-40.739073,-73.990518,-40.746038
2,2013-11-18 16:00:36,-73.985949,-40.746536,-73.966702,-40.757381
1,2013-11-18 16:00:36,-73.9631538,-40.7691229,-73.981762,-40.740733
1,2013-11-18 16:00:37,-73.985552,-40.7579667,-73.984118,-40.754842
1,2013-11-18 16:00:37,-73.989916,-40.735349,-73.9789946,-40.736191
3,2013-11-18 16:00:37,-73.7838055,-40.6487785,-73.991563,-40.749706
1,2013-11-18 16:00:38,-73.9578658,-40.7821571,-73.969431,-40.753624
1,2013-11-18 16:00:39,-73.9555856,-40.7794952,-73.9848067,-40.7601058
1,2013-11-18 16:00:39,-73.9944848,-40.7558825,-73.9736025,-40.7896131
2,2013-11-18 16:00:41,-73.9958473,-40.7265273,-73.9846345,-40.7592117
2,2013-11-18 16:00:41,-73.9996344,-40.7539186,-73.9819937,-40.7654522
1,2013-11-18 16:00:41,-73.9820207,-40.776264,-73.945482,-40.807773
1,2013-11-18 16:00:41,-74.005187,-40.719838,-73.994648,-40.7259345
1,2013-11-18 16:00:42,-73.9805314,-40.7648393,-73.988305,-40.747535
2,2013-11-18 16:00:43,-73.948881,-40.7775516,-73.9476028,-40.7835456
1,2013-11-18 16:00:44,-73.9828783,-40.7667155,-73.974956,-40.790184
1,2013-11-18 16:00:44,-73.9854922,-40.747168,-73.990276,-40.756567
1,2013-11-18 16:00:44,-73.982462,-40.742645,-73.9803529,-40.730428
1,2013-11-18 16:00:44,-73.995018,-40.73986,-73.9663887,-40.7704757
1,2013-11-18 16:00:44,-73.976744,-40.759165,-73.9828783,-40.7667155
1,2013-11-18 16:00:45,-73.978607,-40.745058,-73.9718586,-40.7629781
1,2013-11-18 16:00:45,-73.9760057,-40.7540778,-73.974997,-40.777533
3,2013-11-18 16:00:46,-73.9877652,-40.7497921,-74.008269,-40.707722
1,2013-11-18 16:00:46,-73.98209,-40.7746427,-73.9814414,-40.7635839
1,2013-11-18 16:00:46,-73.7842776,-40.6436338,-73.9349305,-40.5839872
1,2013-11-18 16:00:46,-74.002174,-40.72293,-74.007823,-40.7117257
1,2013-11-18 16:00:46,-73.9967162,-40.725502,-73.992463,-40.748469
2,2013-11-18 16:00:46,-73.9806552,-40.745131,-73.9923997,-40.7306011
1,2013-11-18 16:00:47,-73.9866818,-40.7339792,-73.984118,-40.754842
1,2013-11-18 16:00:47,-73.95516,-40.764918,-73.973959,-40.751441
1,2013-11-18 16:00:48,-73.99736,-40.729941,-73.9709542,-40.7642198
1,2013-11-18 16:00:48,-74.0057467,-40.7371508,-73.9826602,-40.7849758
2,2013-11-18 16:00:49,-73.9850867,-40.7585867,-73.8612717,-40.7680118
1,2013-11-18 16:00:49,-73.9721756,-40.7864873,-73.9527214,-40.7723305
1,2013-11-18 16:00:49,-73.99658,-40.742811,-73.9907524,-40.734816
1,2013-11-18 16:00:49,-73.9929759,-40.7528582,-73.9790542,-40.74446
1,2013-11-18 16:00:49,-73.974111,-40.7639334,-73.985043,-40.753554
1,2013-11-18 16:00:49,-73.9865645,-40.7616583,-73.9776851,-40.7636462
1,2013-11-18 16:00:50,-73.976289,-40.759787,-73.981822,-40.752197
1,2013-11-18 16:00:51,-73.8625558,-40.7688802,-73.996351,-40.732255
1,2013-11-18 16:00:51,-74.0131127,-40.71566,-73.972692,-40.749157
1,2013-11-18 16:00:51,-74.007238,-40.74347,-73.9876044,-40.7704103
1,2013-11-18 16:00:51,-73.9828071,-40.7617189,-74.0088706,-40.7424626
1,2013-11-18 16:00:52,-73.9740978,-40.7965204,-73.938755,-40.8049397
1,2013-11-18 16:00:52,-73.9722156,-40.7498059,-73.9760403,-40.7514368
1,2013-11-18 16:00:52,-73.9971275,-40.7223037,-73.9723599,-40.7622894
1,2013-11-18 16:00:52,-73.9892986,-40.7579071,-74.0148736,-40.7094167
1,2013-11-18 16:00:52,-73.96323,-40.777677,-74.004416,-40.742284
1,2013-11-18 16:00:52,-73.962472,-40.7671877,-73.974648,-40.753367
1,2013-11-18 16:00:53,-73.9591761,-40.7717042,-73.9556525,-40.7820524
1,2013-11-18 16:00:53,-73.9724703,-40.758999,-73.9795173,-40.7611421
1,2013-11-18 16:00:53,-73.999345,-40.725008,-73.9828783,-40.7667155
1,2013-11-18 16:00:54,-73.976974,-40.754349,-73.9866698,-40.76661
1,2013-11-18 16:00:54,-73.9728492,-40.7933947,-73.9789596,-40.7501762
1,2013-11-18 16:00:55,-73.9610636,-40.7608639,-73.9522412,-40.7771924
1,2013-11-18 16:00:56,-73.999423,-40.71868,-73.9713198,-40.7609688
2,2013-11-18 16:00:56,-74.001882,-40.750828,-73.976045,-40.757232
1,2013-11-18 16:00:56,-73.976251,-40.740026,-73.9546771,-40.7655778
1,2013-11-18 16:00:58,-73.962303,-40.778947,-73.9629623,-40.7724554
2,2013-11-18 16:00:58,-73.988729,-40.745286,-73.994706,-40.721308
2,2013-11-18 16:00:59,-73.9823049,-40.7730986,-73.972553,-40.764898
1,2013-11-18 16:00:59,-73.9555856,-40.7794952,-73.9611664,-40.7776355
6,2013-11-18 16:01:00,-73.9683983,-40.7866014,-73.9731443,-40.7485336
6,2013-11-18 16:01:00,-73.9610357,-40.8068259,-73.9721756,-40.7864873
1,2013-11-18 16:01:00,-73.9986051,-40.7502471,-74.003969,-40.742863
1,2013-11-18 16:01:00,-73.9622579,-40.7729988,-73.96601,-40.7678555
5,2013-11-18 16:01:00,-73.9529164,-40.7858022,-73.9555856,-40.7794952
4,2013-11-18 16:01:00,-73.8668057,-40.7701744,-73.990067,-40.746659
1,2013-11-18 16:01:00,-73.7770685,-40.6467428,-73.8550821,-40.808317
1,2013-11-18 16:01:00,-73.962303,-40.778947,-73.9846345,-40.7592117
1,2013-11-18 16:01:00,-73.9783711,-40.7524145,-73.9814414,-40.7635839
1,2013-11-18 16:01:00,-73.9686338,-40.7616111,-73.9570636,-40.7801184
1,2013-11-18 16:01:00,-73.9540995,-40.7746458,-73.9559988,-40.7678043
3,2013-11-18 16:01:00,-73.966128,-40.76218,-73.9574044,-40.7827919
