licence,capacity,start_time,startX,startY 
2013000566,4,2013-11-18 15:00:06,-73.9681807,-40.7622356
2013003953,4,2013-11-18 15:00:06,-73.974506,-40.732728
2013013267,4,2013-11-18 15:00:07,-73.8665728,-40.7711454
2013007606,5,2013-11-18 15:00:07,-73.9811702,-40.7843497
2013004310,3,2013-11-18 15:00:08,-74.000511,-40.732315
2013007189,5,2013-11-18 15:00:08,-73.99684,-40.737361
2013004984,4,2013-11-18 15:00:09,-73.964476,-40.7730963
2013002368,4,2013-11-18 15:00:09,-73.990518,-40.746038
2013002066,4,2013-11-18 15:00:09,-73.9897914,-40.7572335
2013000751,4,2013-11-18 15:00:10,-74.005545,-40.727157
2013007051,3,2013-11-18 15:00:10,-73.9686338,-40.7616111
2013013281,4,2013-11-18 15:00:11,-73.7880273,-40.6417125
2013008268,4,2013-11-18 15:00:11,-73.999586,-40.7310543
2013010931,4,2013-11-18 15:00:11,-74.0021357,-40.7151767
2013007017,4,2013-11-18 15:00:11,-73.982724,-40.750959
2013007003,4,2013-11-18 15:00:11,-73.966128,-40.76218
2013001677,3,2013-11-18 15:00:12,-73.9507426,-40.7832595
2013005034,6,2013-11-18 15:00:12,-73.977655,-40.757912
2013005303,4,2013-11-18 15:00:12,-74.008007,-40.705447
2013003952,6,2013-11-18 15:00:12,-73.973636,-40.76457
2013010040,4,2013-11-18 15:00:12,-73.9810292,-40.7692746
2013003556,5,2013-11-18 15:00:12,-73.976744,-40.759165
2013005417,3,2013-11-18 15:00:13,-73.983621,-40.749724
2013002426,4,2013-11-18 15:00:13,-73.961522,-40.760231
2013011358,4,2013-11-18 15:00:14,-73.9606918,-40.7656116
2013004328,4,2013-11-18 15:00:14,-73.9832025,-40.7503045
2013003083,4,2013-11-18 15:00:14,-73.9557686,-40.7879101
2013001317,4,2013-11-18 15:00:14,-73.9532591,-40.7675236
2013000191,4,2013-11-18 15:00:14,-73.9461373,-40.7813075
2013010850,4,2013-11-18 15:00:14,-73.9563633,-40.7815237
2013006199,4,2013-11-18 15:00:14,-73.96586,-40.8054906
2013011842,2,2013-11-18 15:00:16,-74.00847,-40.72061
2013006990,4,2013-11-18 15:00:16,-73.7808766,-40.645095
2013013091,4,2013-11-18 15:00:17,-73.99251,-40.724192
2013009393,5,2013-11-18 15:00:17,-74.000661,-40.72084
2013004739,4,2013-11-18 15:00:17,-73.9782029,-40.7513124
2013012048,4,2013-11-18 15:00:18,-73.9900092,-40.7722297
2013007994,5,2013-11-18 15:00:18,-73.969431,-40.753624
2013007185,4,2013-11-18 15:00:18,-73.979629,-40.7496555
2013000737,4,2013-11-18 15:00:18,-73.984076,-40.749102
2013001992,4,2013-11-18 15:00:18,-73.9838267,-40.7654145
2013002757,5,2013-11-18 15:00:19,-73.997862,-40.741056
2013003535,5,2013-11-18 15:00:19,-73.9685157,-40.764823
2013000352,4,2013-11-18 15:00:19,-73.997785,-40.724235
2013000532,4,2013-11-18 15:00:19,-74.00646,-40.738754
2013001582,3,2013-11-18 15:00:19,-73.9692037,-40.7634774
